ID;ISTAT_PROVINCIA;PROVINCIA;ISTAT;COMUNE;DENOMINAZIONE_DEL_MERCATO;INDIRIZZI;PERIODICITA_DEL_MERCATO;GIORNO_DI_MERCATO;FREQUENZA_SETTIMANALE;DALLE_ORE_ESTIVO;ALLE_ORE_ESTIVO;DAL;AL;ANNO_ISTITUZIONE_MERCATO;ISTITUZIONE_ALTRO_RIFERIMENTO_TEMPORALE;N_POST_ALIM;N_POST_NON_ALIM;N_POST_TOT;SUP_POST_NON_ALIM;SUP_POST_ALIM;SUP_POST_TOT;POSTI_DEST_PRODOTTI_TIPICI_LOMBARDI;POSTI_DEST_PRODOTTI_AGRICOLI;POSTI_DEST_PRODOTTI_FLOROVIVAISTICI
100440;15;MI;15146;MILANO;VIA ARIOLI VENEGONI;VIA ARIOLI VENEGONI;SETTIMANALE;MARTEDÌ;;07:30;14:00;01-gen;31-dic;2000;;15;28;43;630;298;928;0;1;0
501584;15;MI;15226;TURBIGO;PIAZZA MADONNA DELLA LUNA;;;;;;;;;;;;;;;;;;;
712296;15;MI;15118;LEGNANO;MERCATO CENTRALE VIA CASTELLO;VIALE DEL CASTELLO;SETTIMANALE;SABATO;;08:00;17:00;;;;SPOSTAMENTO ANNO 2000;36;111;147;4214;1330;5544;0;2;3
100397;15;MI;15093;CORSICO;VIA MONTELLO GRUPPO A;VIA MONTELLO;QUINDICINALE;SABATO;1^ e 3^;07:30;13:30;;;;1987;16;41;57;1237.75;493.5;1731.25;0;1;1
100548;15;MI;15175;PIOLTELLO;PIOLTELLO PIAZZA DEL MERCATO;;;;;;;;;;;;;;;;;;;
100537;15;MI;15169;PAULLO;PIAZZA SAN TARCISIO;VIA MARTIRI DI VILLA POMPEIANA;SETTIMANALE;SABATO;;14:00;18:00;;;1990;;15;64;79;1792;420;2212;0;2;0
100487;15;MI;15146;MILANO;VIA ORBETELLO;VIA ORBETELLO;SETTIMANALE;GIOVEDÌ;;07:30;14:00;01-gen;31-dic;1997;;21;23;44;276;303.5;579.5;0;1;0
69009;15;MI;15116;LAINATE;MERCATO DELLE FRAZIONI BARBAIANA;;;;;;;;;;;;;;;;;;;
100503;15;MI;15146;MILANO;VIA SAN MARCO (GIOVEDI);VIA SAN MARCO;SETTIMANALE;GIOVEDÌ;;07:30;14:00;01-gen;31-dic;2000;;24;24;48;325;316.5;641.5;0;1;0
100562;15;MI;15182;RHO;MERCATO DI LUCERNATE;VIA VERBANIA;SETTIMANALE;GIOVEDÌ;;14:30;19:30;01-gen;31-dic;2013;;5;4;9;140;175;315;0;0;0
100420;15;MI;15131;MAGNAGO;PIAZZA S. PERTINI;;;;;;;;;;;;;;;;;;;
100532;15;MI;15166;PADERNO DUGNANO;PALAZZOLO MILANESE;;;;;;;;;;;;;;;;;;;
100515;15;MI;15146;MILANO;VIA VASARI;GIORGIO VASARI;SETTIMANALE;MARTEDÌ;;07:30;14:00;;;2000;;19;13;32;202.5;256.5;459;0;0;0
